,caption_source,caption_target,type_data,score_text,score_visual,label,score_visual_1,score_visual_2,score_visual_3,score_visual_4
0,"A horizontally-oriented eye level image shows a residential concrete-like balcony destroyed by an explosion in Beirut. The image shows the balcony slightly slanted toward the background on the left side. Two parallel rectangular concrete-like sections have wrecked, twisted, and separated, missing metal safety grates. Torn and shredded white and red striped fabric hangs limply from partially separated metal grates still learning on the balcony. Behind the metal grates, window panes are missing and twisted strips of housing material are partially visible. Stacks of brown cardboard boxes are visible behind the leaning grates on the balcony on the right side.","This is the side of a building. It shows mostly one floor and a little of the floor above it. It has a balcony. It had a metal railing but it is all broken and has a dirty, ripped and striped cloth draped in front of it. There are boxes piled haphazardly behind it. Part of the railing is leaning out. The higher floor seems better. The building is tan and dirty. ",dci,0.09965698515434762,-0.015880493651224015,1,0.0058005310077722805,-0.09783372102178588,-0.12442521994786254,0.06766132484326738
1,"A horizontally-oriented, slightly low angle, wide shot image shows a monument from Russia to the heroes of 1812 in Smolensk, Russia. Under a grey, overcast sky, the vertical monument has traces of snow clinging to parts of its surface. The statue of a large falcon-like bird is perched on top of the stone element; the bird’s wings extend upward toward the sky. A round plaque leans against the base of the sculpture. Small pyramidal stanchions with thin chains rope off all sides except for a single access point to the sculpture. The ground is covered with a thin coating of snow. Trees are partially visible on both the left and right sides of the image; their branches are thin, dark brown, and bare. In the background, a large, coral pink fortress-like building is slightly elevated; the steps leading from the memorial’s location to the building are partially visible. The building has rectangular and circle top windows and fortress-like ornamentation at the tops of tower-like components of the structure. A more orange-red brick wall extends from the building through the left side of the image.","A monolithic monument surrounded by four pinkish stones on each side, connected by black chains, one chain missing at the front middle to make an opening to the monument.  The monument has a wreath with decorations in it on the front, and some sort of large, black emblem on the right side.  At the top of the cliff-faced monolith is the statue of a soldier trying to grab an eagle standing in front of its nest.  There are three bald trees and a black lamp post to the left of the monument, on the same ground level.  There's another bald tree growing to the left of the monument, but on the level of ground above it, behind the grey wall that's behind the monument.  To the right of the monument and behind it is another black lamp post, some stone stairs leading up to another level with a pink building and another bald tree growing in the snow-covered grass.  On the left side of the upper level is a light-brown brick building.  On the far right of the upper level is a black metal fence with another brick building behind it.  The sky is grey and completely overcast.",dci,0.8603635652476209,0.09690174578935506,2,0.037606179890960656,0.048375600293199705,0.07416482263457114,0.05746436226312385
2,"A high-angle, wide shot captures a group of people in bathing suits walking hand in hand through a river in Dunn’s River Falls in Jamaica. The line of people stretches from the lower left and curves towards the upper right. The gray water they wade through is ankle deep on top of a step on the left, while it is thigh deep in the center. The people are men and women who range in different skin tones and ages. The people who are facing toward the viewer have their faces blurred. Their bathing suits come in an array of different colors, from black, red, coral, blue, and patterned, and the people in the shallow area are wearing water shoes. Behind the line toward the left is a brown-skinned man holding a small camera. He is wearing a yellow short-sleeved shirt with a blue stripe on the shoulders, bright blue shorts, and yellow water shoes.  Near the back of the line, a break occurs, as a group of women slowly make their way through the water. 


The water is surrounded in the background by a steep bank covered in dirt and green leaves. Cut tree branches cover the area behind the man with the camera. A few, long, oval-shaped leaves appear in the foreground on the left. 

","a dozen tourists including male and female, teenage and middle aged people, fat and skinny, are walking across a creek in a line hand in hand. their local guide wearing blue shorts and yellow t-shirt is holding a video recorder filming them in the left.   There are tree branches, fallen logs and brushes next to the water area. The tourists from left to right are a white woman in black swim suit, a white boy in red swim pants, a chubby white woman in red swim suit, a white man with tattoos, three skinny Asian boys and two Asian girl, a white girl, followed by a white family with a chubby male in the end. ",dci,0.027216497136846984,0.02370692607388536,2,-0.08938299305046855,0.00379353850061033,-0.026935829512344245,0.08204297187137459
3,"A horizontally-oriented high angle photo shows a large crowd of men, women, and children gathered on an open plaza. They wear winter coats (mostly the puffy style), winter hats, and gloves and stand with their backs facing the viewer. They face a tall open structure that extends from the left side of the image on a slight curve into the right side of the image. A tiered rooflike top connects a series of columns. The fronts of these roof-like sections are ornamented with abstract decorative motifs and sans-serif text in Cyrillic. Between the crowd and this structure, three large screens have been set up on a stage. In front of the center screen, a band performs on a variety of instruments including a keyboard, accordion, and acoustic guitar. In the background, the bare brown winter branches of the tops of a horizontal line of trees is partially visible. A clear, pale blue, perfectly cloudless sky is overhead.",People in their winter clothes enjoying a winter festival concert outside.,dci,0.39567244964293147,0.06351011534494466,2,0.039661650781258856,-0.03322593354991815,0.11883229870566248,-0.09499031795052673
4,"A photo shows a view of the Palazzo Calbo Crotta overlooking the Grand Canal in Venice, Italy. Slanted to face the right side of the image, the Palazzo Calbo Crotta is a large, rectangular, white stone building with three stories of windows and a red terracotta tile roof. A slightly elevated balcony is full of people. Below, white awnings extend outward to the water. Underneath the edges of the awnings, planters full of red and white flowers are visible. Additional buildings in tan and reddish orange are visible on both sides. In the foreground, a stone walkway is partially visible in the lower right corner. Tall wooden mornings stick out of the dark water. Narrow boats in white and grey are tied to these mooring posts. A boat with a hard-shell cover is partially visible on the left side of the image. A string with a small, white rectangular sign has all caps, sans serif black text reading“VIETATO SALIRE” printed on it.","A river in the middle of a city with a dock for small boats. There is a concrete or rock edge along the river and long wood poles sticking up out of the water evenly spaced for boats to tie onto and dock along the shore. Along the opposite side of the river are a bunch of decently sized building painted white, red, and beige, all of them being at least three or four stories tall. The building also have canopies or large umbrellas out in front of them, sheltering people underneath from the sun and weather. The weather looks nice with a sunny sky, clear of clouds, but the river doesn't seem very busy with only three boats in view, with the two smaller personal boats being docked along the shore, and the third appearing to be a passanger boat.",dci,1.6121102500518028,-0.1075137350557025,2,0.017963872462894992,-0.16875525716048334,-0.1064683107069789,-0.04235016778748538
5,"An eye-level full outdoor shot on a sunny day depicts a mostly red French ambulance parked in a lot near another car, with a background of a sloped grassy area with tall leafless deciduous trees and a bit of bright sky.


The ambulance faces left and is very slightly angled forward. The back end is near the right edge of the shot, and the front end is near the left edge. It has a boxy shape with a very slanted windshield. The hood has diagonal yellow stripes across it. Orange trim on the side boxes in a white picture of a telephone with the number “18” above it and “112” below it. Going across the side, just above the black door handles, is a line of white text that reads “VEHICULE DE SECOURS ET D'ASSISTANCE AUX VICTIMES”. Small blue lights are on top of the cab. A narrow, raised concrete strip is in front of the van.


In the left front corner of the shot, closer to the viewer than the ambulance and the concrete strip, is the front end of a silver sedan with black trim. To the right of the car is gray asphalt. 


A white sign in the shape of an arrow pointing left, and a bit back has black text that reads “COMPLEXE SPORTIF” stacked on “LEO LAGRANGE”. 


The edge of the grass line of the sloped area runs behind the ambulance from the right edge of the shot, at the level of the ambulance’s bumper, to the left edge, about one-third of the way up from the bottom left corner. The top of the sloped area runs from one-third of the way down from the top edge of the shot on the right edge to the vertical midpoint on the left edge of the shot. Trees are scattered in the grassy area that go up and out of view. 


A lamp post with three signs attached is behind the front end of the ambulance.


In the distant background, the tops of more leafless trees are visible, along with some sky along the top edge. ",This is an image of a red European Ambulance that is parked in a sports park complex.   You can see the masked driver and passenger inside the ambulance.    There is a green tree covered hill behind the ambulance.,dci,0.6978186562696274,0.006487641737558114,2,-0.11941193147779913,-0.20049849900295832,0.024088842018769152,0.10267179535782099
6,"A horizontally-oriented wide shot photo shows a garden view of the Lin pei family garden at the Lin Family Mansion and Garden in Taiwan. A pinkish pathway extends from the lower left side of the image to just right of the image’s center. Along this pathway, thin, slab-like carved stones are staggered along both sides. A small, green shrub is planted behind them in the lower right corner of the image. At the end of the pathway, an open-air structure consists of a slightly raised ground slab, four blue cylindrical supports and a roof built in a traditional architectural style. Behind this structure, tall, leafy green trees are partially visible. The sky that peeks through the branches is bright white. ","A pavilion with blue support beams stands at the center of a nature area. The design of the pavilion appears to be inspired by Asian architecture. There are many trees surrounding the area. There is a red stone brick pathway that leads up to the pavilion. The pathway is flanked on both sides by large dark stones that have either curved or pointed tops. There is a small stone staircase on the right leading up to the right side of the pavilion. It is daytime, and the sky is partially visible in the upper left corner.  ",dci,0.13777122005341935,0.020077735549455245,1,0.04834755142253054,-0.005960391806044199,0.48164309060453214,-0.2829860372082333
7,"A long outdoor shot shows the Kaiser Wilhelm Memorial Church at the end of a city streetscape under cloudy grey-blue skies. Very near the viewer on either side, angled upward and toward the center, stand burnished grey lengths of metal that are part of a public artwork. Underneath the v-shape created by these metal bars stands the city. The streetscape begins with a long grey walkway going away from the viewer to the church. On either side of the walkway many square flower gardens and grass spaces have been planted, each one lined with concrete blocks. Several bare bushes also stand in the gardens. On each side of the walkway is a city street. The street on the left has a grey van facing forward. The street on the right has a white car facing away. Several bare reddish-brown trees help to line the streets. Each street has a far sidewalk, but few people are visible. The buildings lining the streets are tall, grey, and modern. At the end of the streets, gardens, and walkways stands the church, made of light-brown stone and rising to a very high, wide, multi-sided steeple that is accompanied by two smaller towers. In front of the church is a very tall grey structure. The sunlight, although muffled, casts shadows on the walkways.","An old medieval building in the center of a modern city. The old medieval building has parts of it roof gone and has a dark, grey-brown building covering up parts of it to its front right. Behind is a blue sky with no clouds in them as well as a white building with its upper half still being built. To the left of the them is a white skyscraper building of at least 20 stories with at least a dozen windows on each floor. There's a closer, smaller white building on the left with larger, wider windows and a grey van parked below it on the road. To the right end is a white SUV parked against a building with big gaps between its floor with little windows. In the middle is a stone-gravel like pathway that snakes through the middle of two sides of small gardens. Each side of the gardens one end with flowers and one with nothing but grass in it. On the opposite side is the opposite of the flowers/grass relations. There's a darker grey path closest to the viewer and two big branches on either side, one with a metallic look and another with a wooden one. ",dci,0.24433824142596244,0.011796356042361289,2,0.004563586662958127,-0.002123064796391863,-0.12873274440612653,0.24599879367742336
8,"Two eye-level, medium shots featuring furniture and artwork are placed side by side. The image on the left is of a home dining room viewed through a dirty and cracked glass surface. Through the glass on the left is a gray wall, and beyond the wall on the right is a portion of a dark dining table with a shiny top. Several dark-colored chairs with round backs are placed near the table, and atop the table are a few dark vases with bouquets inside. The floor has shiny off-white tiles with a black angular design under the table and chairs. The wall in the background has taupe wallpaper with a light tan pattern. Along the right, a large abstract painting with shades of red, brown, tan, and white hang in a dark frame. To the left is a tan-colored hanging wall decoration. Underneath the painting is a narrow table made of dark gold scalloped design with glassware atop. A wall-sized window is to the left of the artwork and reveals a white building outside with greenery. The sunshine pours in through the window and reflects off the floor of the room.


On the right, is a portion of a black chaise lounge below an abstract painting of three female cellists. The painting uses bright orange, pink, and red to depict the musicians’ clothing. To the right of the furniture and painting is a tall, thin standing lamp with a flat, round fuchsia lampshade. The stand appears to be made of a dark gray metal.  The chaise lounge looks to be velvet with gold legs, and a matching roll pillow with a silver decoration and tassel on the side is placed against the side. 


The room is white with a small black square under the furniture. ",The whole scene is split in half with two living rooms. It is sunny outside as we see the reflecion on the mirror. The white room has no windows and is very bright. Both rooms are very cleaned and detailed.,dci,0.5906689472024639,0.0342168791223747,2,-0.12234427623442755,-0.003833304149605428,0.1819130540941938,-0.044980587302048736
9,"A horizontally-oriented low angle photo shows the neo-Renaissance architecture of the hotel Renaissance Kyiv in Kyiv, Ukraine. The photo shows a corner of the building; two sides of the facade are partially visible on either side of this rounded, turret-like corner. The stucco-like building is a terracotta color with pale yellow trim along its many windows and decorative architectural elements. The roof is black. The building also features white decorative elements, windows, parapets, and balconies. A large capital serif letter “R” is pale blue and is visible near the top of one side of the corner’s black, rounded, turret-like roof. Directly underneath this large “R,” all-caps, sans serif lettering is slightly smaller than the large “R” immediately overhead; these letters spell out “RENAISSANCE.” This word follows the curved contour of the corner.

In the lower left corner, the foliage of a dark green, leafy tree is partially visible. Thin black wire-like cables cross the horizontal width of the image in the middle. Overhead, a few fluffy, white clouds are visible in the bright, blue sky.
","The roof is a very dark brown.  There are six windows with rounded tops on the left side., while there are ten windows on the right side. On the right side, there are three circular windows in the middle of the ones with rounded tops. On the third floor on the right side of the building, you can see statues; next to the square balcony on the third floor on the right side, you can see a white statue with three people, and on the rounded balcony on the right side on the third floor, you can see another statue with two people. Towards the bottom of the building near the entrance, there are white statues on each side with a black shade over each. The very top of the building has three visible black square platforms with a small spike on each of the four corners. Above each of the two shaded statues, there is a circular, white crest with a white banner hanging above each one. There are two power lines running horizontally across the front of the building.",dci,0.28093668704950764,0.06552267772793119,2,0.0549779744462629,-0.107776255781892,0.014251531138535431,0.08682786386765509
